striker,non_striker,runs
NT Paranavitana,AD Mathews,64
AD Mathews,NT Paranavitana,81
AD Mathews,S Randiv,44
S Randiv,AD Mathews,27
S Randiv,HMRKB Herath,0
HMRKB Herath,S Randiv,0
S Randiv,RAS Lakmal,2
RAS Lakmal,S Randiv,1
AD Mathews,S Prasanna,12
S Prasanna,AD Mathews,5
AD Mathews,RMS Eranga,77
RMS Eranga,AD Mathews,28
AD Mathews,UWMBCA Welegedara,17
UWMBCA Welegedara,AD Mathews,16
LD Chandimal,DPMD Jayawardene,84
DPMD Jayawardene,LD Chandimal,102
DPMD Jayawardene,S Randiv,9
S Randiv,DPMD Jayawardene,12
DPMD Jayawardene,UWMBCA Welegedara,27
UWMBCA Welegedara,DPMD Jayawardene,19
RAS Lakmal,DPMD Jayawardene,0
DPMD Jayawardene,RAS Lakmal,12
LD Chandimal,S Randiv,22
S Randiv,LD Chandimal,18
HAPW Jayawardene,UWMBCA Welegedara,23
UWMBCA Welegedara,HAPW Jayawardene,13
HAPW Jayawardene,RAS Lakmal,32
RAS Lakmal,HAPW Jayawardene,13
DPMD Jayawardene,HDRL Thirimanne,73
HDRL Thirimanne,DPMD Jayawardene,24
AD Mathews,KTGD Prasad,96
KTGD Prasad,AD Mathews,98
KTGD Prasad,HMRKB Herath,64
HMRKB Herath,KTGD Prasad,62
RAS Lakmal,KTGD Prasad,0
KTGD Prasad,RAS Lakmal,5
HDRL Thirimanne,KTGD Prasad,11
KTGD Prasad,HDRL Thirimanne,7
KTGD Prasad,TM Dilshan,27
TM Dilshan,KTGD Prasad,14
AD Mathews,N Pradeep,6
N Pradeep,AD Mathews,5
KC Sangakkara,JK Silva,578
JK Silva,KC Sangakkara,508
KC Sangakkara,KTGD Prasad,65
KTGD Prasad,KC Sangakkara,36
JK Silva,CKB Kulasekara,11
CKB Kulasekara,JK Silva,15
JK Silva,S Randiv,0
S Randiv,JK Silva,1
JK Silva,KTGD Prasad,24
KTGD Prasad,JK Silva,23
NT Paranavitana,JK Silva,0
JK Silva,NT Paranavitana,0
NT Paranavitana,CKB Kulasekara,13
CKB Kulasekara,NT Paranavitana,7
N Pradeep,KC Sangakkara,4
KC Sangakkara,N Pradeep,59
LD Chandimal,NT Paranavitana,26
NT Paranavitana,LD Chandimal,28
NLTC Perera,KMDN Kulasekara,49
KMDN Kulasekara,NLTC Perera,33
CRD Fernando,NLTC Perera,0
NLTC Perera,CRD Fernando,0
TM Dilshan,FDM Karunaratne,99
FDM Karunaratne,TM Dilshan,97
KMDN Kulasekara,RMS Eranga,18
RMS Eranga,KMDN Kulasekara,20
UWMBCA Welegedara,RMS Eranga,0
RMS Eranga,UWMBCA Welegedara,5
FDM Karunaratne,KC Sangakkara,144
KC Sangakkara,FDM Karunaratne,159
HMRKB Herath,RMS Eranga,17
RMS Eranga,HMRKB Herath,13
HDRL Thirimanne,TT Samaraweera,20
TT Samaraweera,HDRL Thirimanne,12
N Pradeep,RAS Lakmal,44
RAS Lakmal,N Pradeep,34
DPMD Jayawardene,FDM Karunaratne,38
FDM Karunaratne,DPMD Jayawardene,67
FDM Karunaratne,NT Paranavitana,60
NT Paranavitana,FDM Karunaratne,31
NT Paranavitana,S Randiv,0
S Randiv,NT Paranavitana,3
S Randiv,KMDN Kulasekara,5
KMDN Kulasekara,S Randiv,2
TM Dilshan,KDK Vithanage,6
KDK Vithanage,TM Dilshan,13
KDK Vithanage,AD Mathews,67
AD Mathews,KDK Vithanage,48
KC Sangakkara,KDK Vithanage,50
