striker,non_striker,runs
Abul Hasan,Shahadat Hossain,7
Shahadat Hossain,Abul Hasan,13
Mominul Haque,Jahurul Islam,55
Jahurul Islam,Mominul Haque,35
Mominul Haque,Nasir Hossain,1
Nasir Hossain,Mominul Haque,10
Robiul Islam,Nasir Hossain,6
Nasir Hossain,Robiul Islam,22
Mushfiqur Rahim,Sohag Gazi,28
Sohag Gazi,Mushfiqur Rahim,53
Mushfiqur Rahim,Abul Hasan,18
Abul Hasan,Mushfiqur Rahim,6
Abul Hasan,Robiul Islam,15
Robiul Islam,Abul Hasan,10
Shahriar Nafees,Jahurul Islam,40
Jahurul Islam,Shahriar Nafees,34
Sohag Gazi,Enamul Haque jnr,1
Enamul Haque jnr,Sohag Gazi,2
Rubel Hossain,Sohag Gazi,4
Sohag Gazi,Rubel Hossain,5
Sohag Gazi,Robiul Islam,82
Robiul Islam,Sohag Gazi,33
Mohammad Ashraful,Nasir Hossain,21
Nasir Hossain,Mohammad Ashraful,22
Enamul Haque jnr,Rubel Hossain,4
Rubel Hossain,Enamul Haque jnr,4
Enamul Haque jnr,Robiul Islam,0
Robiul Islam,Enamul Haque jnr,0
Nasir Hossain,Ziaur Rahman,20
Ziaur Rahman,Nasir Hossain,14
Sajedul Islam,Nasir Hossain,4
Nasir Hossain,Sajedul Islam,22
Sajedul Islam,Robiul Islam,0
Robiul Islam,Sajedul Islam,24
Anamul Haque,Tamim Iqbal,56
Tamim Iqbal,Anamul Haque,69
Anamul Haque,Marshall Ayub,3
Marshall Ayub,Anamul Haque,3
Marshall Ayub,Mominul Haque,31
Mominul Haque,Marshall Ayub,110
Sohag Gazi,Abdur Razzak,22
Abdur Razzak,Sohag Gazi,8
Tamim Iqbal,Marshall Ayub,58
Marshall Ayub,Tamim Iqbal,79
Abdur Razzak,Al-Amin Hossain,19
Al-Amin Hossain,Abdur Razzak,6
Shamsur Rahman,Tamim Iqbal,116
Tamim Iqbal,Shamsur Rahman,104
